1	20																			
Fst	Sheet1	Pairwise Population Matrix of Gentice Distance																		
ZN	XCD	MLK	BM	WYPY	LMT	GL	SB	GMR	XGQ	GHQ	SKD	YZXL	MY	YA	AY	JSC	CYS	LSS	LMS	
																				ZN
0.03 																				XCD
0.02 	0.03 																			MLK
0.07 	0.08 	0.07 																		BM
0.12 	0.13 	0.12 	0.14 																	WYPY
0.14 	0.16 	0.15 	0.17 	0.09 																LMT
0.17 	0.19 	0.18 	0.19 	0.13 	0.17 															GL
0.08 	0.08 	0.07 	0.11 	0.05 	0.06 	0.06 														SB
0.10 	0.10 	0.09 	0.13 	0.06 	0.08 	0.09 	0.03 													GMR
0.09 	0.09 	0.08 	0.12 	0.05 	0.07 	0.08 	0.03 	0.02 												XGQ
0.10 	0.10 	0.09 	0.13 	0.06 	0.08 	0.09 	0.03 	0.02 	0.01 											GHQ
0.08 	0.08 	0.08 	0.11 	0.05 	0.06 	0.07 	0.01 	0.02 	0.02 	0.02 										SKD
0.12 	0.13 	0.12 	0.15 	0.09 	0.11 	0.12 	0.01 	0.05 	0.04 	0.04 	0.02 									YZXL
0.11 	0.11 	0.10 	0.14 	0.07 	0.09 	0.10 	0.01 	0.04 	0.04 	0.04 	0.02 	0.02 								MY
0.13 	0.14 	0.13 	0.15 	0.09 	0.11 	0.13 	0.02 	0.04 	0.04 	0.04 	0.03 	0.04 	0.04 							YA
0.13 	0.14 	0.13 	0.15 	0.10 	0.12 	0.14 	0.02 	0.05 	0.04 	0.05 	0.02 	0.03 	0.02 	0.05 						AY
0.15 	0.16 	0.15 	0.18 	0.12 	0.14 	0.16 	0.07 	0.08 	0.08 	0.09 	0.07 	0.11 	0.10 	0.11 	0.11 					JSC
0.17 	0.18 	0.17 	0.19 	0.14 	0.16 	0.19 	0.08 	0.10 	0.09 	0.10 	0.09 	0.13 	0.11 	0.13 	0.13 	0.14 				CYS
0.20 	0.21 	0.21 	0.22 	0.18 	0.21 	0.24 	0.08 	0.11 	0.10 	0.12 	0.10 	0.15 	0.13 	0.16 	0.17 	0.17 	0.12 			LSS
0.18 	0.20 	0.19 	0.20 	0.17 	0.21 	0.25 	0.06 	0.09 	0.08 	0.10 	0.07 	0.13 	0.10 	0.14 	0.15 	0.15 	0.12 	0.16 		LMS
