1	20																			
Geographic	Sheet1	Pairwise Population Matrix of Geographic Distance																		
ZN	XCD	MLK	BM	WYPY	LMT	GL	SB	GMR	XGQ	GHQ	SKD	YZXL	MY	YA	AY	JSC	CYS	LSS	LMS	
0.00 																				ZN
20.93 	0.00 																			XCD
30.16 	9.88 	0.00 																		MLK
57.98 	39.65 	29.97 	0.00 																	BM
105.46 	85.01 	75.36 	50.43 	0.00 																WYPY
144.30 	124.74 	114.87 	86.56 	42.84 	0.00 															LMT
169.70 	150.39 	140.50 	111.77 	68.64 	25.96 	0.00 														GL
196.32 	177.08 	167.20 	138.37 	94.99 	52.60 	26.71 	0.00 													SB
200.90 	181.84 	171.95 	142.92 	100.33 	57.71 	31.75 	6.09 	0.00 												GMR
209.61 	190.09 	180.22 	151.76 	106.85 	65.35 	40.10 	14.79 	13.81 	0.00 											XGQ
213.23 	193.99 	184.11 	155.27 	111.64 	69.44 	43.61 	16.91 	12.89 	8.06 	0.00 										GHQ
211.12 	191.91 	182.02 	153.15 	109.68 	67.41 	41.54 	14.83 	10.69 	7.91 	2.20 	0.00 									SKD
189.88 	171.12 	161.24 	131.93 	91.16 	48.32 	23.09 	11.75 	12.54 	25.74 	25.33 	23.15 	0.00 								YZXL
211.64 	193.14 	183.28 	153.78 	113.67 	70.83 	45.37 	22.33 	16.30 	23.61 	16.57 	15.82 	22.51 	0.00 							MY
216.45 	198.24 	188.40 	158.74 	119.85 	77.09 	52.05 	29.98 	23.99 	30.54 	22.94 	22.63 	28.97 	7.70 	0.00 						YA
221.43 	203.00 	193.14 	163.60 	123.56 	80.72 	55.16 	31.00 	24.92 	28.26 	20.23 	20.56 	32.42 	9.92 	6.73 	0.00 					AY
298.48 	279.37 	269.48 	240.50 	196.73 	154.83 	129.01 	102.30 	97.58 	89.90 	85.40 	87.47 	108.82 	88.04 	84.88 	78.84 	0.00 				JSC
338.89 	321.00 	311.19 	281.42 	241.99 	199.18 	173.38 	147.48 	141.86 	137.74 	131.51 	133.26 	150.96 	128.50 	122.89 	118.57 	56.54 	0.00 			CYS
349.71 	332.21 	322.45 	292.57 	254.47 	211.63 	186.02 	160.55 	154.79 	151.49 	144.97 	146.62 	163.31 	140.80 	134.78 	130.92 	72.57 	16.15 	0.00 		LSS
361.34 	343.87 	334.11 	304.23 	266.11 	223.27 	197.65 	172.12 	166.38 	162.92 	156.46 	158.13 	174.96 	152.45 	146.44 	142.56 	82.29 	26.00 	11.67 	0.00 	LMS
