species,longitude,latitude
RB,99.41,26.56
RB,99.54,26.73
RB,99.09,27.64
RB,99.4,26.38
RB,99.17,27.59
RB,99.16,27.57
RB,99.13,27.47
RB,99.08,28.63
RB,99.18,27.8
RB,98.7,28.88
RB,98.7,28.9
RB,99.08,28.58
RB,99.3,27.62
RB,99.31,27.61
RB,99.59,26.88
RB,98.64,29.28
RB,99.15,28.2
RB,99.15,27.78
RB,99.51,27.51
RB,99.12,27.57
RB,98.74,28.99
RB,99.26,26.45
RB,99.26,26.26
RB,98.77,28.9
RB,99.05,28.6
RB,99.1,28.18
RB,99.12,27.95
RB,99.15,27.67
RB,99.28,27.58
RB,99.28,27.52
RB,99.12,27.48
RB,99.15,27.45
RB,99.33,26.42
RB,99.25,26.33
RB,99.25,26.23
RB,98.62,29.33
RB,98.75,29.1
RB,98.92,28.72
RB,99.1,28.48
RB,99.12,28.33
RB,99.05,28.03
RB,99.05,27.97
RB,99.25,27.67
RB,99.18,27.45
RB,99.28,26.93
RB,99.6,26.8
RB,99.32,26.7
RB,99.68,26.67
RB,99.35,26.43
RB,99.23,26.33
